id,fecha_siniestro,tipo_automovil,marca,modelo,lng,lat,day,month
33285,25-05-2011 00:00,Camioneta,Chevrolet,Luv sup 3.2 190hp 4wd,-75.70565469,4.80879345,Wednesday,May
33286,25-05-2011 00:00,Camioneta,Chevrolet,Luv d-max cc 3.5 4wd ac,-70.59762557,-33.4416703,Wednesday,May
33287,25-05-2011 00:00,Otro,Volvo,Otra,-99.9611985,20.3982253,Wednesday,May
33288,24-05-2011 00:00,Camiones,Ford,Cargo 4532 e corto,-69.7998529,18.561501999999997,Tuesday,May
33289,27-05-2011 00:00,Camioneta,Ford,F250 xl cc 4x2,-70.1437014,-20.235376000000002,Friday,May
33291,26-05-2011 00:00,Automovil,Suzuki,Swift 1 3 ga,-70.5901039,-33.3823008,Thursday,May
33292,26-05-2011 00:00,Automovil,Toyota,Yaris gl,-3.381415,38.7608157,Thursday,May
33293,26-05-2011 00:00,Automovil,Toyota,Yaris gl,-66.94016975,18.25005155,Thursday,May
33294,26-05-2011 00:00,Station wagon,Hyundai,Tucson 2.0 gl at 2wd,-75.6261619,6.944855199999999,Thursday,May
33295,26-05-2011 00:00,Camioneta,Nissan,Terrano,-5.869603,41.266765299999996,Thursday,May
33296,27-05-2011 00:00,Camioneta,Nissan,Terrano,-70.6814364,-33.471111,Friday,May
33297,26-05-2011 00:00,Automovil,Toyota,Yaris gli,-49.24209309,-25.418199899999998,Thursday,May
33298,24-05-2011 00:00,Camioneta,Nissan,Terrano,-2.103403,42.2229156,Tuesday,May
33299,26-05-2011 00:00,Camioneta,Citroen,Berlingo ii hdi pta lat,-70.5665546,-33.4743648,Thursday,May
33300,28-05-2011 00:00,Automovil,Hyundai,Accent gt (16v),-67.0205266,10.4179192,Saturday,May
33301,28-05-2011 00:00,Todo terreno,Toyota,Rav4 std,-2.9349458,43.2629489,Saturday,May
33302,28-05-2011 00:00,Automovil,Toyota,Yaris gl,-70.5981102,-33.43287855,Saturday,May
33303,27-05-2011 00:00,Automovil,Chevrolet,Aveo ls hb 5p 1.4 16v mt,-70.7852359,-33.3719614,Friday,May
33304,29-05-2011 00:00,Automovil,Suzuki,Aerio glx at,-77.84247235,-8.39038885,Sunday,May
33305,28-05-2011 00:00,Camioneta,Nissan,Terrano,-64.6828154,10.1098069,Saturday,May
33306,30-05-2011 00:00,Automovil,Kia motors,Frontier 2.7 plus c/s,-70.5501135,-33.4349108,Monday,May
33307,27-05-2011 00:00,Automovil,B.m.w.,116 i,-70.6910772,-33.3574733,Friday,May
33308,30-05-2011 00:00,Todo terreno,Toyota,Rav4 std,-4.5539179,36.6050046,Monday,May
33309,30-05-2011 00:00,Automovil,Toyota,Yaris gl,125.6010053,8.7351844,Monday,May
33310,25-05-2011 00:00,Automovil,Toyota,Yaris sport xli,-75.6261619,6.944855199999999,Wednesday,May
33311,28-05-2011 00:00,Automovil,Chevrolet,Optra ii ls nb 1.6 mt ac,-2.8088091,36.7720731,Saturday,May
33312,30-05-2011 00:00,Automovil,Toyota,Yaris gl,-5.4407471,43.5196121,Monday,May
33313,09-02-2011 00:00,Automovil,Toyota,Yaris gl,-70.6246964,-33.4558415,Wednesday,February
33314,30-05-2011 00:00,Todo terreno,Toyota,Rav4 std,-70.65060357,-33.48069688,Monday,May
33315,31-05-2011 00:00,Automovil,Suzuki,Swift 1 3 ga,-70.57067999,-33.437127399999994,Tuesday,May
33316,30-05-2011 00:00,Camiones,Kia motors,Frontier 2.7 plus c/s,3.1209227,42.248535,Monday,May
33317,29-05-2011 00:00,Automovil,Toyota,Corolla xli,-70.5591876,-33.5222926,Sunday,May
33318,30-05-2011 00:00,Camaras frigorificas (con unidad refrigerante y sin chassis),Kia motors,Frontier 2.7 plus c/s,-4.4618137,40.45469979999999,Monday,May
33385,02-03-2011 00:00,Automovil,Toyota,Yaris gl,-70.6220654,-33.439851399999995,Wednesday,March
33389,04-03-2011 00:00,Station wagon,Hyundai,Santa fe 2.0 gl 2wd crd,-70.0846734,-20.2860115,Friday,March
33390,07-03-2011 00:00,Automovil,Chevrolet,Aveo ls hb 5p 1.4 16v mt,-73.15258399,-36.79705745,Monday,March
33391,07-03-2011 00:00,Camioneta,Great wall,Wingle 4x2 ab,-70.3941702,-23.5923081,Monday,March
33392,07-03-2011 00:00,Automovil,Chevrolet,Aveo ls hb 5p 1.4 16v mt,-71.2466405,-34.9948015,Monday,March
33393,07-03-2011 00:00,Automovil,Byd,F3 1.5 g-i,-103.2147466,25.8708546,Monday,March
33394,04-03-2011 00:00,Station wagon,Hyundai,Tucson 2.0 gl at abs 2ab,-70.67687631,-33.49058098,Friday,March
33395,08-03-2011 00:00,Automovil,Honda,Civic sedan,-57.8619241,-34.8723089,Tuesday,March
33399,09-03-2011 00:00,Station wagon,Hyundai,Santa fe 2.0 gl 2wd crd,-99.2719825,19.3934434,Wednesday,March
33400,10-03-2011 00:00,Camioneta,Toyota,Hilux,-58.2615558,-37.8419472,Thursday,March
